问题,答案,类别,关键词
实验室准入基本要求有什么要求？,进入实验室前应完成安全教育培训、准入考试和实验室现场告知，未经培训和准入考核合格不得独立开展实验。新进人员应了解实验室危险源、应急设施位置、个人防护要求和离室检查要求。,准入与责任体系,准入 入室 培训 考试 新生 研究生
实验室安全责任链条有什么要求？,实验室安全管理应形成学校、学院、实验室、个人四级责任链条。实验室负责人、安全员、指导教师和实验人员应分别履行风险辨识、教育培训、日常检查、隐患整改和规范操作责任。,准入与责任体系,责任体系 学院 实验室 安全员 导师
高风险实验导师审核有什么要求？,涉及危险化学品、气瓶、高温高压、夜间实验、管制类化学品、长时间连续运行设备等场景，应在实验前由导师或实验室负责人审核，明确危险源、防护措施、应急预案、责任人和实验时间。,准入与责任体系,导师审核 高风险 审批 备案
夜间实验备案要求有什么要求？,夜间实验应坚持必要性原则。涉及高风险因素时，应完成夜间实验备案，记录实验人员、地点、内容、时间、危险源、防护措施、导师或负责人联系方式。原则上不建议单人开展高风险夜间实验。,准入与责任体系,夜间实验 备案 过夜 单人
实验服、手套和护目镜有什么要求？,进入化学类实验室应穿实验服。涉及化学品操作应佩戴合适手套；存在飞溅、腐蚀或刺激风险时应佩戴护目镜或面屏。污染手套不得触摸门把手、手机、电脑键盘等公共物品。,个人防护,实验服 手套 护目镜 面屏 PPE
实验室行为禁忌有什么要求？,实验室内不得饮食、饮水、吸烟、化妆或存放食品。不得穿拖鞋、短裤、裙装等不符合要求的服装进入实验室。长发应束起，不得佩戴影响操作安全的饰品。,个人防护,饮食 食品 拖鞋 短裤 长发
危险化学品分类存放有什么要求？,危险化学品应按酸、碱、氧化剂、还原剂、易燃液体、毒害品、腐蚀品等性质分类存放。不相容化学品不得混放，药品柜外应有清晰标识，试剂瓶标签应完整、清晰。,危险化学品,危化品 分类 混放 酸 碱 氧化剂 还原剂
危险化学品台账有什么要求？,危险化学品应建立采购、入库、领用、使用、暂存、废弃和处置台账，做到账物一致。重点危险化学品应严格按制度履行审批、领用和归还手续。,危险化学品,危化品 台账 采购 领用 库存
试剂标签和二次容器标签有什么要求？,所有化学品原瓶和二次分装容器均应有标签，标签至少包含名称、浓度或主要成分、危险类别、配置日期、责任人等信息。不得使用无标签、标签脱落或来源不明的试剂。,危险化学品,标签 二次容器 无标签 分装
管制类化学品管理有什么要求？,易制毒、易制爆、剧毒等管制类化学品应执行专柜存放、专人管理、审批领用、台账记录和余量核对等要求。不得私自购买、转借、转让或超量领用。,危险化学品,管制 易制毒 易制爆 剧毒 双人双锁
