风险因素,分值,建议风险级别,控制措施,关键词
管制类化学品,5,重大风险,严格履行审批、领用、双人管理和台账核对。,管制 易制毒 易制爆 剧毒
高压反应或失控反应,5,重大风险,使用前完成专项风险评估和导师审核，确认泄压与防护措施。,高压 反应釜 失控 爆炸
大量易燃易爆物质,5,重大风险,减少用量，远离火源，设置防火、防爆和应急措施。,大量 易燃 易爆
有机溶剂,2,高风险,在通风橱操作，远离火源，做好废液分类。,有机溶剂 乙醇 甲醇 丙酮 乙腈
易燃易爆物质,2,高风险,远离火源热源，控制用量，配备合适灭火器。,易燃 易爆 火灾
有毒有害物质,2,高风险,查阅SDS，佩戴PPE，在通风橱中操作。,有毒 有害 刺激 致癌
强腐蚀物质,2,高风险,佩戴护目镜或面屏，准备洗眼喷淋和泄漏处置材料。,强酸 强碱 腐蚀
高温或加热,2,高风险,检查加热设备、冷凝水和周边可燃物，不得无人值守。,高温 加热 回流 烘箱
气瓶,2,高风险,固定气瓶，检查阀门、减压阀和管路。,气瓶 氢气 氧气 乙炔 氮气
大型仪器连续运行,2,高风险,明确责任人、巡查频次和异常处置方式。,气相色谱 液相色谱 过夜 连续运行
夜间实验,2,高风险,完成夜间实验备案，不建议单人开展高风险实验。,夜间 晚上 过夜 通宵
较多危险废液,2,高风险,准备专用废液桶、标签和分类方案。,废液 废气 危废
首次独立操作,2,中风险,应由导师或高年级人员指导，先进行操作培训。,第一次 首次 新生 独立
机械切割/高速旋转,2,高风险,防卷入、防飞溅，停机后调整。,切割 打磨 离心 搅拌
生物材料,2,高风险,按生物安全要求操作，规范收集生物废物。,生物 菌 样本 灭活
